site_date_key,Mangrove,Spartina,edge_man,edge_mar,edge_l.mangrove,edge_l.marsh,land_water_ratio,fetch_distance,site_type,Spill Bank,Other
1f36d182,0.2425135071739615,0.1329565968630273,0.2425135071739615,0.1329565968630273,0.6458929873949981,0.3541070126050019,0.3716661309212807,0.0,mixed,,
41bfdee8,0.1837388100673232,0.0466731199351029,0.1837388100673232,0.0466731199351029,0.7974361833842047,0.2025638166157952,0.2308751019012345,19.157417294727463,mangrove,,
79464cf2,0.2516319365463687,0.0879536691231754,0.2516319365463687,0.0879536691231754,0.7409970633185069,0.2590029366814931,0.3523871564341936,0.0,mixed,,
983b722b,0.4164645667621856,0.01358496539494,0.4164645667621856,0.01358496539494,0.9684106960265764,0.0315893039734235,0.4896868818835543,4.827200937301867,mangrove,,
9db4ff53,0.3712456874941919,0.0016722697630485,0.3712456874941919,0.0016722697630485,0.9955157167132744,0.0044842832867256,0.3902384757041079,30.829789023807308,mangrove,,
e49684aa,0.0016244860239164,0.2394359474607004,0.0016244860239164,0.2394359474607004,0.0067389160487014,0.9932610839512984,0.2458830226390502,16.32986325178686,marsh,,
f51955eb,0.181551418562986,0.2055089293616374,0.181551418562986,0.2055089293616374,0.4690519696384438,0.5309480303615561,0.4694563952999731,8.406783307516402,mixed,,
10ef41b4,0.5111272707028475,0.0,0.5111272707028475,0.0,1.0,0.0,0.1625597078243332,0.0,mangrove,,
39a22c63,0.6337455638258708,0.0,0.6337455638258708,0.0,1.0,0.0,0.3923276319621022,2.5280630336873453,mangrove,,
5e4ec044,0.3401105071277804,0.0,0.3401105071277804,0.0,1.0,0.0,0.5617253229889293,0.0,mangrove,,
a45372ac,0.5143585300434621,0.0154928851949292,0.5143585300434621,0.0154928851949292,0.9707599437326052,0.0292400562673946,0.5142879255527212,0.0,mangrove,,
54b8fc49,0.0186206276882512,0.3560587795020321,0.0186206276882512,0.3560587795020321,0.0496974942601919,0.950302505739808,0.6898931111812776,0.0,marsh,,
7b9ead19,0.0301756091401918,0.2948887087966886,0.0301756091401918,0.2948887087966886,0.0928296570097588,0.9071703429902412,0.4254675733011057,0.0,marsh,,
bac32223,0.046119626130513,0.2000270161318403,0.046119626130513,0.2000270161318403,0.1873664645864103,0.8126335354135896,0.5117126518811806,0.0,marsh,,
5f2537fb,0.2975065774887613,0.1289990562619918,0.2975065774887613,0.1289990562619918,0.6975443087877756,0.3024556912122242,0.5211284923992554,2.363186918600001,mixed,,
b11be902,0.1052064984356256,0.1657464342126119,0.1052064984356256,0.1657464342126119,0.3882832985321813,0.6117167014678186,0.2974360091093113,26.661760976503945,mixed,,
4055fb57,0.2271352865894112,0.1805779302505875,0.2271352865894112,0.1805779302505875,0.5570957163219636,0.4429042836780363,0.4937124157819171,0.0,mixed,,
6abec928,0.0486987195880626,0.2063117601395974,0.0486987195880626,0.2063117601395974,0.1909675227467934,0.8090324772532066,0.2582295416301122,0.0,marsh,,
9820d7df,0.2395401274418277,0.075183173890014,0.2395401274418277,0.075183173890014,0.7611134174944947,0.2388865825055053,0.7395138095094035,0.0,mangrove,,
ab165e76,0.0017884402414806,0.1756311384648868,0.0017884402414806,0.1756311384648868,0.01008028682359,0.98991971317641,0.1820185250170438,10.509345511398486,marsh,,
286cc7fc,0.3491796148842231,0.0,0.3491796148842231,0.0,1.0,0.0,0.4256567002399921,38.389565322131055,mangrove,0.0030387184584229,
52a8182e,0.5992577868661434,0.000184306507495,0.5992577868661434,0.000184306507495,0.9996925365943892,0.0003074634056107,0.328080545750018,14.882820073481197,mangrove,0.0,
8ffb0cbc,0.187812750924071,0.0,0.187812750924071,0.0,1.0,0.0,0.3911985594331396,99.99229356535372,mangrove,0.0,
a479a49f,0.5705712900995715,0.0348508842675408,0.5705712900995715,0.0348508842675408,0.942435401702997,0.0575645982970028,0.6839410183754894,0.0,mangrove,0.0,
af8bc475,0.2308892048911003,0.0285892078923444,0.2308892048911003,0.0285892078923444,0.8898204764486347,0.1101795235513653,0.4504282105066768,61.26556656181452,mangrove,0.0,
b5a61449,0.3156659306800691,0.0031831353925796,0.3156659306800691,0.0031831353925796,0.9900167956212412,0.0099832043787588,0.336855490174524,0.0,mangrove,0.0,
3096ab9a,0.4861469452918555,0.0082910004351928,0.4861469452918555,0.0082910004351928,0.983231464116288,0.0167685358837119,0.6758093357888122,0.0,mangrove,,
5925e1f7,0.2852107284223436,0.0092459291504584,0.2852107284223436,0.0092459291504584,0.968600033612171,0.031399966387829,0.330851982202589,663.3892746240116,mangrove,,
3aee966b,0.2461950037518295,0.1050714100845759,0.2461950037518295,0.1050714100845759,0.7008782908191427,0.2991217091808573,0.3574520666794177,0.0,mixed,,
56dad4fd,0.0340271194600443,0.0784054170353242,0.0340271194600443,0.0784054170353242,0.3026447727739914,0.6973552272260086,0.1133165231317503,34.726446603442035,mixed,,
68bb7209,0.2850846707442468,0.0658914980843692,0.2850846707442468,0.0658914980843692,0.8122621877596923,0.1877378122403076,0.5972926675764212,0.0,mangrove,,
9595edb4,0.2012082760444868,0.089649090587466,0.2012082760444868,0.089649090587466,0.6917764482791772,0.3082235517208229,0.2462182185677785,26.556186473050868,mixed,,
a7b5df75,0.2809717399183944,0.0415961244789851,0.2809717399183944,0.0415961244789851,0.8710469049460495,0.1289530950539505,0.3911429796036502,13.256973623929838,mangrove,,
ac62b9c3,0.4327250062622539,0.0713141670289634,0.4327250062622539,0.0713141670289634,0.8585146337668472,0.1414853662331527,0.5412323678842043,0.0,mangrove,,
d0ca5be3,0.1805554329414976,0.2098063247027297,0.1805554329414976,0.2098063247027297,0.4625336099292144,0.5374663900707854,0.4088194047736956,0.0,mixed,,
4fc39c30,0.0,0.3388171074338041,0.0,0.3388171074338041,0.0,1.0,0.3437136539398536,3.5289872626426138,marsh,,
80e424b0,0.0007178863272555,0.3782863841298919,0.0007178863272555,0.3782863841298919,0.0018941378322457,0.9981058621677544,0.4220275329983352,16.878160772029197,marsh,,
91daed95,0.0069282154476089,0.290862421232902,0.0069282154476089,0.290862421232902,0.0232653904932612,0.9767346095067388,0.3293583162246039,10.770838001450416,marsh,,
