site_date_key,Mangrove,Spartina,Spill Bank,edge_man,edge_mar,edge_l.mangrove,edge_l.marsh,land_water_ratio,fetch_distance,site_type,unclassified,Other
1f36d182,0.1191776488224254,0.1253161774287344,0.0,0.1191776488224254,0.1253161774287344,0.4874464547828641,0.5125535452171359,0.3567007050115978,0.0,mixed,,
41bfdee8,0.1711064823368528,0.0744345977270959,0.0,0.1711064823368528,0.0744345977270959,0.6968548085407534,0.3031451914592466,0.317480799820544,19.157417294727463,mixed,,
79464cf2,0.1406374386345535,0.0919578845743597,0.0,0.1406374386345535,0.0919578845743597,0.6046443096718472,0.3953556903281529,0.3708620115632468,0.0,mixed,,
983b722b,0.1814691712386842,0.0055383262450429,0.0030700778548184,0.1814691712386842,0.0055383262450429,0.9703844695022196,0.0296155304977805,0.4657068369698619,4.827200937301867,mangrove,,
9db4ff53,0.2181156119060151,0.0026349005699276,0.0,0.2181156119060151,0.0026349005699276,0.9880638982878248,0.0119361017121753,0.4316788253170706,30.829789023807304,mangrove,,
e49684aa,0.0019844710417169,0.1749050655689368,0.0,0.0019844710417169,0.1749050655689368,0.0112187022462777,0.9887812977537224,0.2256237998498593,16.32986325178686,marsh,,
f51955eb,0.1085965502209021,0.0918201054872807,0.0,0.1085965502209021,0.0918201054872807,0.5418539184638645,0.4581460815361355,0.4489561959054552,8.406783307516402,mixed,,
10ef41b4,0.2581549599972934,0.001725829414186,0.0,0.2581549599972934,0.001725829414186,0.9933591497159356,0.0066408502840643,0.2582020825749384,0.0,mangrove,,
39a22c63,0.3017954774689393,3.4144941588500423e-06,0.0,0.3017954774689393,3.4144941588500423e-06,0.9999886861938536,1.1313806146337816e-05,0.4101169978527076,2.5280630336873453,mangrove,,
5e4ec044,0.1533622370976022,0.0,0.0012410069124006,0.1533622370976022,0.0,1.0,0.0,0.5421509780012054,0.0,mangrove,,
